Verb,Route,Method,Renderer,Location,Archive,Endpoint Suffix
GET,/project/<pid>/node/<nid>/dropbox/hgrid/,views.hgrid.dropbox_hgrid_data_contents,json_renderer,dropbox,,
GET,/project/<pid>/node/<nid>/dropbox/hgrid/<path:path>,views.hgrid.dropbox_hgrid_data_contents,json_renderer,dropbox,,
GET,/project/<pid>/node/<nid>/dropbox/oauth/,views.auth.dropbox_oauth_start,json_renderer,dropbox,,
POST,/project/<pid>/node/<nid>/edit/,project_views.node.edit_node,json_renderer,website,,
POST,/project/<pid>/node/<nid>/expand/,project_views.node.expand,json_renderer,website,,
GET,/project/<pid>/node/<nid>/expanded/,project_views.node.is_expanded,json_renderer,website,,
POST,/project/<pid>/node/<nid>/figshare/<aid>/,views.crud.figshare_upload,json_renderer,figshare,,
DELETE,/project/<pid>/node/<nid>/figshare/article/<aid>/file/<fid>/,views.crud.figshare_delete_file,json_renderer,figshare,,
GET,/project/<pid>/node/<nid>/figshare/config/,views.config.figshare_config_get,json_renderer,figshare,,
PUT,/project/<pid>/node/<nid>/figshare/config/,views.config.figshare_config_put,json_renderer,figshare,,
DELETE,/project/<pid>/node/<nid>/figshare/config/,views.config.figshare_deauthorize,json_renderer,figshare,,
PUT,/project/<pid>/node/<nid>/figshare/config/import-auth/,views.config.figshare_import_user_auth,json_renderer,figshare,,
GET,/project/<pid>/node/<nid>/figshare/download/article/<aid>/file/<fid>/,views.crud.figshare_download_file,json_renderer,figshare,,
GET,/project/<pid>/node/<nid>/figshare/hgrid/,views.hgrid.figshare_hgrid_data_contents,json_renderer,figshare,,
GET,/project/<pid>/node/<nid>/figshare/hgrid/<type>/<id>/,views.hgrid.figshare_hgrid_data_contents,json_renderer,figshare,,
GET,/project/<pid>/node/<nid>/figshare/hgrid/options/,views.config.figshare_get_options,json_renderer,figshare,,
POST,/project/<pid>/node/<nid>/figshare/new/fileset/,views.crud.figshare_create_fileset,json_renderer,figshare,,
POST,/project/<pid>/node/<nid>/figshare/new/project/,views.crud.figshare_create_project,json_renderer,figshare,,
GET,/project/<pid>/node/<nid>/figshare/oauth,views.auth.figshare_oauth_start,json_renderer,figshare,,
DELETE,/project/<pid>/node/<nid>/figshare/oauth/,views.auth.figshare_oauth_delete_node,json_renderer,figshare,,
DELETE,/project/<pid>/node/<nid>/figshare/project/<project_id>/article/<aid>,views.crud.figshare_remove_article_from_project,json_renderer,figshare,,
GET,/project/<pid>/node/<nid>/figshare/render/article/<aid>/file/<fid>/,views.crud.figshare_get_rendered_file,json_renderer,figshare,,
POST,/project/<pid>/node/<nid>/figshare/user_auth/,views.auth.figshare_add_user_auth,json_renderer,figshare,,
GET,/project/<pid>/node/<nid>/figshare/widget/,views.widget.figshare_widget,json_renderer,figshare,,
GET,/project/<pid>/node/<nid>/file_paths/,views.list_file_paths,json_renderer,osffiles,,
GET,/project/<pid>/node/<nid>/files/,project_views.file.collect_file_trees,json_renderer,website,,
GET,/project/<pid>/node/<nid>/files/download/<fid>/,views.download_file,OsfWebRenderer,osffiles,,
GET,/project/<pid>/node/<nid>/files/download/<fid>/version/<vid>/,views.download_file_by_version,json_renderer,osffiles,,
GET,/project/<pid>/node/<nid>/files/grid/,project_views.file.grid_data,json_renderer,website,,
POST,/project/<pid>/node/<nid>/fork/,project_views.node.node_fork_page,json_renderer,website,,
GET,/project/<pid>/node/<nid>/fork/before/,project_views.node.project_before_fork,json_renderer,website,,
GET,/project/<pid>/node/<nid>/forks/,project_views.node.node_forks,json_renderer,website,,
GET,/project/<pid>/node/<nid>/forward/config/,views.config.forward_config_get,json_renderer,forward,,
PUT,/project/<pid>/node/<nid>/forward/config/,views.config.forward_config_put,json_renderer,forward,,
GET,/project/<pid>/node/<nid>/get_children/,project_views.node.get_children,json_renderer,website,,
GET,/project/<pid>/node/<nid>/get_contributors/,project_views.contributor.get_contributors,json_renderer,website,,
GET,/project/<pid>/node/<nid>/get_contributors_from_parent/,project_views.contributor.get_contributors_from_parent,json_renderer,website,,
GET,/project/<pid>/node/<nid>/get_editable_children/,project_views.node.get_editable_children,json_renderer,website,,
GET,/project/<pid>/node/<nid>/get_forks/,project_views.node.get_forks,json_renderer,website,,
GET,/project/<pid>/node/<nid>/get_recently_added_contributors/,project_views.contributor.get_recently_added_contributors,json_renderer,website,,
GET,/project/<pid>/node/<nid>/get_registrations/,project_views.node.get_registrations,json_renderer,website,,
GET,/project/<pid>/node/<nid>/get_summary/,project_views.node.get_summary,json_renderer,website,,
DELETE,/project/<pid>/node/<nid>/github/config/,views.auth.github_oauth_deauthorize_node,json_renderer,github,,
POST,/project/<pid>/node/<nid>/github/file/,views.crud.github_upload_file,json_renderer,github,,
POST,/project/<pid>/node/<nid>/github/file/<path:path>,views.crud.github_upload_file,json_renderer,github,,
DELETE,/project/<pid>/node/<nid>/github/file/<path:path>,views.crud.github_delete_file,json_renderer,github,,
GET,/project/<pid>/node/<nid>/github/file/<path:path>/render/,views.crud.github_get_rendered_file,json_renderer,github,,
GET,/project/<pid>/node/<nid>/github/hgrid/,views.hgrid.github_hgrid_data_contents,json_renderer,github,,
GET,/project/<pid>/node/<nid>/github/hgrid/<path:path>/,views.hgrid.github_hgrid_data_contents,json_renderer,github,,
GET,/project/<pid>/node/<nid>/github/hgrid/root/,views.hgrid.github_root_folder_public,json_renderer,github,,
POST,/project/<pid>/node/<nid>/github/hook/,views.hooks.github_hook_callback,json_renderer,github,,
GET,/project/<pid>/node/<nid>/github/oauth/,views.auth.github_oauth_start,json_renderer,github,,
DELETE,/project/<pid>/node/<nid>/github/oauth/,views.auth.github_oauth_deauthorize_node,json_renderer,github,,
POST,/project/<pid>/node/<nid>/github/settings/,views.config.github_set_config,json_renderer,github,,
GET,/project/<pid>/node/<nid>/github/tarball/,views.crud.github_download_starball,json_renderer,github,tar,__tar
POST,/project/<pid>/node/<nid>/github/user_auth/,views.auth.github_add_user_auth,json_renderer,github,,
GET,/project/<pid>/node/<nid>/github/zipball/,views.crud.github_download_starball,json_renderer,github,zip,__zip
POST,/project/<pid>/node/<nid>/invite_contributor/,project_views.contributor.invite_contributor_post,json_renderer,website,,
GET,/project/<pid>/node/<nid>/keys/,project_views.key.get_node_keys,json_renderer,website,,
GET,/project/<pid>/node/<nid>/log/,project_views.log.get_logs,json_renderer,website,,
POST,/project/<pid>/node/<nid>/osffiles/,views.upload_file_public,json_renderer,osffiles,,
GET,/project/<pid>/node/<nid>/osffiles/<fid>/,views.download_file,OsfWebRenderer,osffiles,,
DELETE,/project/<pid>/node/<nid>/osffiles/<fid>/,views.delete_file,json_renderer,osffiles,,
GET,/project/<pid>/node/<nid>/osffiles/<fid>/info/,views.file_info,json_renderer,osffiles,,
GET,/project/<pid>/node/<nid>/osffiles/<fid>/version/<vid>/,views.download_file_by_version,json_renderer,osffiles,,
GET,/project/<pid>/node/<nid>/osffiles/<fid>/version/<vid>/render/,views.osffiles_get_rendered_file,json_renderer,osffiles,,
GET,/project/<pid>/node/<nid>/osffiles/hgrid/,views.get_osffiles_public,json_renderer,osffiles,,
GET,/project/<pid>/node/<nid>/osffiles/hgrid/<path:path>/,views.get_osffiles_public,json_renderer,osffiles,,
POST,/project/<pid>/node/<nid>/permissions/<permissions>/,project_views.node.project_set_privacy,json_renderer,website,,
GET,/project/<pid>/node/<nid>/permissions/beforepublic/,project_views.node.project_before_set_public,json_renderer,website,,
GET,/project/<pid>/node/<nid>/pointer/,project_views.node.get_pointed,json_renderer,website,,
POST,/project/<pid>/node/<nid>/pointer/,project_views.node.add_pointers,json_renderer,website,,
POST,/project/<pid>/node/<nid>/pointer/fork/,project_views.node.fork_pointer,json_renderer,website,,
POST,/project/<pid>/node/<nid>/private_link/,project_views.node.project_generate_private_link_post,json_renderer,website,,
DELETE,/project/<pid>/node/<nid>/private_link/,project_views.node.remove_private_link,json_renderer,website,,
GET,/project/<pid>/node/<nid>/private_link/,project_views.node.private_link_table,json_renderer,website,,
PUT,/project/<pid>/node/<nid>/private_link/edit/,project_views.node.project_private_link_edit,json_renderer,website,,
GET,/project/<pid>/node/<nid>/register/<template>/,project_views.register.node_register_template_page,json_renderer,website,,
POST,/project/<pid>/node/<nid>/register/<template>/,project_views.register.node_register_template_page_post,json_renderer,website,,
POST,/project/<pid>/node/<nid>/removecontributors/,project_views.contributor.project_before_remove_contributor,json_renderer,website,,
POST,/project/<pid>/node/<nid>/removecontributors/,project_views.contributor.project_removecontributor,json_renderer,website,,
POST,/project/<pid>/node/<nid>/removetag/<tag>/,project_views.tag.project_removetag,json_renderer,website,,
POST,/project/<pid>/node/<nid>/revoke_key/,project_views.key.revoke_node_key,json_renderer,website,,
POST,/project/<pid>/node/<nid>/s3/,views.crud.s3_upload,json_renderer,s3,,
DELETE,/project/<pid>/node/<nid>/s3/<path:path>/,views.crud.s3_delete,json_renderer,s3,,
GET,/project/<pid>/node/<nid>/s3/<path:path>/render/,views.crud.ping_render,json_renderer,s3,,
POST,/project/<pid>/node/<nid>/s3/authorize/,views.config.s3_authorize_node,json_renderer,s3,,
DELETE,/project/<pid>/node/<nid>/s3/config/,views.config.s3_remove_node_settings,json_renderer,s3,,
GET,/project/<pid>/node/<nid>/s3/hgrid/,views.hgrid.s3_hgrid_data_contents,json_renderer,s3,,
GET,/project/<pid>/node/<nid>/s3/hgrid/<path:path>/,views.hgrid.s3_hgrid_data_contents,json_renderer,s3,,
GET,/project/<pid>/node/<nid>/s3/hgrid/dummy/,views.hgrid.s3_dummy_folder,json_renderer,s3,,
POST,/project/<pid>/node/<nid>/s3/import-auth/,views.config.s3_node_import_auth,json_renderer,s3,,
POST,/project/<pid>/node/<nid>/s3/newbucket/,views.crud.create_new_bucket,json_renderer,s3,,
POST,/project/<pid>/node/<nid>/s3/settings/,views.config.s3_node_settings,json_renderer,s3,,
DELETE,/project/<pid>/node/<nid>/s3/settings/,views.config.s3_remove_node_settings,json_renderer,s3,,
POST,/project/<pid>/node/<nid>/settings/addons/,project_views.node.node_choose_addons,json_renderer,website,,
POST,/project/<pid>/node/<nid>/settings/comments/,project_views.node.configure_comments,json_renderer,website,,
GET,/project/<pid>/node/<nid>/statistics/,project_views.node.project_statistics,json_renderer,website,,
POST,/project/<pid>/node/<nid>/togglewatch/,project_views.node.togglewatch_post,json_renderer,website,,
POST,/project/<pid>/node/<nid>/unwatch/,project_views.node.unwatch_post,json_renderer,website,,
POST,/project/<pid>/node/<nid>/watch/,project_views.node.watch_post,json_renderer,website,,
GET,/project/<pid>/node/<nid>/wiki/<wid>/,views.project_wiki_page,json_renderer,wiki,,
GET,/project/<pid>/node/<nid>/wiki/<wid>/compare/<compare_id>/,views.project_wiki_compare,json_renderer,wiki,,
POST,/project/<pid>/node/<nid>/wiki/<wid>/edit/,views.project_wiki_edit_post,json_renderer,wiki,,
PUT,/project/<pid>/node/<nid>/wiki/<wid>/rename/,views.project_wiki_rename,json_renderer,wiki,,
GET,/project/<pid>/node/<nid>/wiki/<wid>/version/<vid>/,views.project_wiki_version,json_renderer,wiki,,
GET,/project/<pid>/node/<nid>/wiki/content/<wid>/,views.wiki_page_content,json_renderer,wiki,,
GET,/project/<pid>/node/<nid>/wiki/widget/,views.wiki_widget,json_renderer,wiki,,
POST,/project/<pid>/node/<nid>/zotero/settings/,views.zotero_set_config,json_renderer,zotero,,
GET,/project/<pid>/node/<nid>/zotero/widget/,views.zotero_widget,json_renderer,zotero,,
GET,/project/<pid>/node/<nid>forward/widget/,views.widget.forward_widget,OsfWebRenderer,forward,,
DELETE,/project/<pid>/node/<nid>pointer/,project_views.node.remove_pointer,json_renderer,website,,
GET,/project/<pid>/osffiles/,views.get_osffiles,json_renderer,osffiles,,
POST,/project/<pid>/osffiles/,views.upload_file_public,json_renderer,osffiles,,
GET,/project/<pid>/osffiles/<fid>/,views.download_file,OsfWebRenderer,osffiles,,
DELETE,/project/<pid>/osffiles/<fid>/,views.delete_file,json_renderer,osffiles,,
GET,/project/<pid>/osffiles/<fid>/info/,views.file_info,json_renderer,osffiles,,
GET,/project/<pid>/osffiles/<fid>/version/<vid>/,views.download_file_by_version,json_renderer,osffiles,,
GET,/project/<pid>/osffiles/<fid>/version/<vid>/render/,views.osffiles_get_rendered_file,json_renderer,osffiles,,
GET,/project/<pid>/osffiles/hgrid/,views.get_osffiles_public,json_renderer,osffiles,,
GET,/project/<pid>/osffiles/hgrid/<path:path>/,views.get_osffiles_public,json_renderer,osffiles,,
POST,/project/<pid>/permissions/<permissions>/,project_views.node.project_set_privacy,json_renderer,website,,
GET,/project/<pid>/permissions/beforepublic/,project_views.node.project_before_set_public,json_renderer,website,,
GET,/project/<pid>/pointer/,project_views.node.get_pointed,json_renderer,website,,
POST,/project/<pid>/pointer/,project_views.node.add_pointers,json_renderer,website,,
DELETE,/project/<pid>/pointer/,project_views.node.remove_pointer,json_renderer,website,,
POST,/project/<pid>/pointer/fork/,project_views.node.fork_pointer,json_renderer,website,,
POST,/project/<pid>/private_link/,project_views.node.project_generate_private_link_post,json_renderer,website,,
DELETE,/project/<pid>/private_link/,project_views.node.remove_private_link,json_renderer,website,,
GET,/project/<pid>/private_link/,project_views.node.private_link_table,json_renderer,website,,
PUT,/project/<pid>/private_link/edit/,project_views.node.project_private_link_edit,json_renderer,website,,
GET,/project/<pid>/register/<template>/,project_views.register.node_register_template_page,json_renderer,website,,
POST,/project/<pid>/register/<template>/,project_views.register.node_register_template_page_post,json_renderer,website,,
POST,/project/<pid>/removecontributors/,project_views.contributor.project_before_remove_contributor,json_renderer,website,,
POST,/project/<pid>/removecontributors/,project_views.contributor.project_removecontributor,json_renderer,website,,
POST,/project/<pid>/removetag/<tag>/,project_views.tag.project_removetag,json_renderer,website,,
POST,/project/<pid>/reorder_components/,project_views.node.project_reorder_components,json_renderer,website,,
POST,/project/<pid>/revoke_key/,project_views.key.revoke_node_key,json_renderer,website,,
POST,/project/<pid>/s3/,views.crud.s3_upload,json_renderer,s3,,
DELETE,/project/<pid>/s3/<path:path>/,views.crud.s3_delete,json_renderer,s3,,
GET,/project/<pid>/s3/<path:path>/render/,views.crud.ping_render,json_renderer,s3,,
POST,/project/<pid>/s3/authorize/,views.config.s3_authorize_node,json_renderer,s3,,
DELETE,/project/<pid>/s3/config/,views.config.s3_remove_node_settings,json_renderer,s3,,
GET,/project/<pid>/s3/hgrid/,views.hgrid.s3_hgrid_data_contents,json_renderer,s3,,
GET,/project/<pid>/s3/hgrid/<path:path>/,views.hgrid.s3_hgrid_data_contents,json_renderer,s3,,
GET,/project/<pid>/s3/hgrid/dummy/,views.hgrid.s3_dummy_folder,json_renderer,s3,,
POST,/project/<pid>/s3/import-auth/,views.config.s3_node_import_auth,json_renderer,s3,,
POST,/project/<pid>/s3/newbucket/,views.crud.create_new_bucket,json_renderer,s3,,
POST,/project/<pid>/s3/settings/,views.config.s3_node_settings,json_renderer,s3,,
DELETE,/project/<pid>/s3/settings/,views.config.s3_remove_node_settings,json_renderer,s3,,
POST,/project/<pid>/settings/addons/,project_views.node.node_choose_addons,json_renderer,website,,
POST,/project/<pid>/settings/comments/,project_views.node.configure_comments,json_renderer,website,,
GET,/project/<pid>/statistics/,project_views.node.project_statistics,json_renderer,website,,
POST,/project/<pid>/togglewatch/,project_views.node.togglewatch_post,json_renderer,website,,
POST,/project/<pid>/unwatch/,project_views.node.unwatch_post,json_renderer,website,,
POST,/project/<pid>/watch/,project_views.node.watch_post,json_renderer,website,,
GET,/project/<pid>/wiki/<wid>/,views.project_wiki_page,json_renderer,wiki,,
GET,/project/<pid>/wiki/<wid>/compare/<compare_id>/,views.project_wiki_compare,json_renderer,wiki,,
POST,/project/<pid>/wiki/<wid>/edit/,views.project_wiki_edit_post,json_renderer,wiki,,
PUT,/project/<pid>/wiki/<wid>/rename/,views.project_wiki_rename,json_renderer,wiki,,
GET,/project/<pid>/wiki/<wid>/version/<vid>/,views.project_wiki_version,json_renderer,wiki,,
GET,/project/<pid>/wiki/content/<wid>/,views.wiki_page_content,json_renderer,wiki,,
GET,/project/<pid>/wiki/widget/,views.wiki_widget,json_renderer,wiki,,
POST,/project/<pid>/zotero/settings/,views.zotero_set_config,json_renderer,zotero,,
GET,/project/<pid>/zotero/widget/,views.zotero_widget,json_renderer,zotero,,
POST,/project/new/,project_views.node.project_new_post,json_renderer,website,,
POST,/project/new/<nid>/,project_views.node.project_new_from_template,json_renderer,website,,
POST,/register/,auth_views.register_user,json_renderer,website,,
GET,/search/,search_views.search_search,json_renderer,website,,
POST,/search/node/,project_views.node.search_node,json_renderer,website,,
GET,/search/projects/,search_views.search_projects_by_title,json_renderer,website,,
POST,/settings/addons/,profile_views.user_choose_addons,json_renderer,website,,
GET,/settings/bitbucket/oauth/,views.bitbucket_oauth_start,json_renderer,bitbucket,,
POST,/settings/bitbucket/oauth/delete/,views.bitbucket_oauth_delete_user,json_renderer,bitbucket,,
POST,/settings/create_key/,profile_views.create_user_key,json_renderer,website,,
GET,/settings/dataverse/,views.auth.dataverse_user_config_get,json_renderer,dataverse,,
POST,/settings/dataverse/,views.config.dataverse_set_user_config,json_renderer,dataverse,,
DELETE,/settings/dataverse/,views.auth.dataverse_delete_user,json_renderer,dataverse,,
GET,/settings/dropbox/,views.auth.dropbox_user_config_get,json_renderer,dropbox,,
GET,/settings/dropbox/oauth/,views.auth.dropbox_oauth_start,json_renderer,dropbox,,_user
DELETE,/settings/dropbox/oauth/,views.auth.dropbox_oauth_delete_user,json_renderer,dropbox,,
GET,/settings/figshare/oauth/,views.auth.figshare_oauth_start,json_renderer,figshare,,__user
DELETE,/settings/figshare/oauth/,views.auth.figshare_oauth_delete_user,json_renderer,figshare,,
GET,/settings/github/oauth/,views.auth.github_oauth_start,json_renderer,github,,__user
DELETE,/settings/github/oauth/,views.auth.github_oauth_delete_user,json_renderer,github,,
GET,/settings/jobs/,profile_views.serialize_jobs,json_renderer,website,,
PUT,/settings/jobs/,profile_views.unserialize_jobs,json_renderer,website,,
GET,/settings/jobs/<uid>/,profile_views.serialize_jobs,json_renderer,website,,
PUT,/settings/jobs/<uid>/,profile_views.unserialize_jobs,json_renderer,website,,
GET,/settings/key_history/<kid>/,profile_views.user_key_history,json_renderer,website,,
GET,/settings/keys/,profile_views.get_keys,json_renderer,website,,
GET,/settings/names/,profile_views.serialize_names,json_renderer,website,,
POST,/settings/names/,profile_views.unserialize_names,json_renderer,website,,
GET,/settings/names/impute/,profile_views.impute_names,json_renderer,website,,
POST,/settings/revoke_key/,profile_views.revoke_user_key,json_renderer,website,,
POST,/settings/s3/,views.config.s3_authorize_user,json_renderer,s3,,
DELETE,/settings/s3/,views.config.s3_remove_user_settings,json_renderer,s3,,
GET,/settings/schools/,profile_views.serialize_schools,json_renderer,website,,
PUT,/settings/schools/,profile_views.unserialize_schools,json_renderer,website,,
GET,/settings/schools/<uid>/,profile_views.serialize_schools,json_renderer,website,,
PUT,/settings/schools/<uid>/,profile_views.unserialize_schools,json_renderer,website,,
GET,/settings/social/,profile_views.serialize_social,json_renderer,website,,
PUT,/settings/social/,profile_views.unserialize_social,json_renderer,website,,
GET,/settings/social/<uid>/,profile_views.serialize_social,json_renderer,website,,
PUT,/settings/social/<uid>/,profile_views.unserialize_social,json_renderer,website,,
GET,/tags/<tag>/,project_views.tag.project_tag,json_renderer,website,,
POST,/user/<uid>/<pid>/claim/email/,project_views.contributor.claim_user_post,json_renderer,website,,
POST,/user/merge/,auth_views.merge_user_post,json_renderer,website,,
GET,/user/search/,search_views.search_contributor,json_renderer,website,,
GET,/watched/logs/,website_views.watched_logs_get,json_renderer,website,,
POST,github/repo/create/,views.repos.github_create_repo,json_renderer,github,,
POST,project/<pid>/node/<nid>/figshare/,views.crud.figshare_upload,json_renderer,figshare,,